軸となる単語,軸のグループ単語,登場回数,全単語に対する登場頻度%（登場回数/全単語数）,他の店での登場頻度%,他の店に比べて何倍登場しやすいか
赤酢,赤酢,1回,0.0%,0.01%,0.54倍
握り,握り,135回,0.8%,0.58%,1.38倍
シャリ,シャリ,129回,0.77%,0.37%,2.04倍
シャリ,コメ,1回,0.0%,0.0%,11.4倍
シャリ,米,25回,0.14%,0.02%,6.19倍
まぐろ,まぐろ,4回,0.02%,0.07%,0.31倍
まぐろ,マグロ,31回,0.18%,0.2%,0.9倍
まぐろ,鮪,26回,0.15%,0.29%,0.52倍
まぐろ,赤身,41回,0.24%,0.22%,1.07倍
まぐろ,トロ,6回,0.03%,0.09%,0.36倍
