軸となる単語,軸のグループ単語,登場回数,全単語に対する登場頻度%（登場回数/全単語数）,他の店での登場頻度%,他の店に比べて何倍登場しやすいか
握り,握り,102回,0.45%,0.58%,0.77倍
シャリ,シャリ,27回,0.12%,0.37%,0.31倍
シャリ,米,3回,0.01%,0.02%,0.55倍
まぐろ,まぐろ,11回,0.04%,0.07%,0.65倍
まぐろ,マグロ,34回,0.15%,0.2%,0.74倍
まぐろ,鮪,77回,0.34%,0.29%,1.16倍
まぐろ,赤身,15回,0.06%,0.22%,0.29倍
まぐろ,トロ,27回,0.12%,0.09%,1.23倍
