軸とその登場回数,修飾語・その登場回数・他の店に比べて何倍か,修飾語・その登場回数・他の店に比べて何倍か,修飾語・その登場回数・他の店に比べて何倍か,修飾語・その登場回数・他の店に比べて何倍か,修飾語・その登場回数・他の店に比べて何倍か,修飾語・その登場回数・他の店に比べて何倍か
赤酢 0回,強い ・0回  ・ 0.0倍,あっさり ・0回  ・ 0.0倍,酸っぱい ・0回  ・ 0.0倍,,,
握り 108回,大きい ・5回  ・ 1.1倍,小さい ・4回  ・ 1.45倍,創作 ・3回  ・ 1.45倍,,,
シャリ 20回,大きい ・2回  ・ 2.03倍,小さい ・6回  ・ 10.44倍,パラパラ ・0回  ・ 0.0倍,塩気 ・0回  ・ 0.0倍,甘い ・1回  ・ 1.07倍,酢 ・1回  ・ 0.24倍
まぐろ 133回,うまい ・21回  ・ 1.04倍,臭い ・0回  ・ 0.0倍,あっさり ・1回  ・ 2.56倍,こってり ・0回  ・ 0.0倍,とろける ・4回  ・ 2.44倍,
