軸となる単語,登場回数,全単語に対する登場頻度%（登場回数/全単語数）,他の店での登場頻度%,他の店に比べて何倍登場しているか,詳細:軸のグループ単語とその登場回数
赤酢,0回,0.0%,0.01%,0.0倍," 赤酢 0回,"
握り,102回,0.45%,0.58%,0.77倍," 握り 102回, にぎり 0回, ニギリ 0回,"
シャリ,30回,0.13%,0.4%,0.33倍," シャリ 27回, コメ 0回, 米 3回, ライス 0回, こめ 0回, しゃり 0回,"
まぐろ,164回,0.73%,0.9%,0.81倍," まぐろ 11回, マグロ 34回, 鮪 77回, 赤身 15回, トロ 27回, とろ 0回,"
