軸となる単語,登場回数,全単語に対する登場頻度%（登場回数/全単語数）,他の店での登場頻度%,他の店に比べて何倍登場しているか,詳細:軸のグループ単語とその登場回数
赤酢,0回,0.0%,0.01%,0.0倍," 赤酢 0回,"
握り,73回,0.69%,0.58%,1.18倍," 握り 72回, にぎり 0回, ニギリ 1回,"
シャリ,27回,0.25%,0.4%,0.63倍," シャリ 25回, コメ 0回, 米 2回, ライス 0回, こめ 0回, しゃり 0回,"
まぐろ,222回,2.1%,0.9%,2.34倍," まぐろ 48回, マグロ 72回, 鮪 56回, 赤身 29回, トロ 17回, とろ 0回,"
