軸とその登場回数,修飾語・その登場回数・他の店に比べて何倍か,修飾語・その登場回数・他の店に比べて何倍か,修飾語・その登場回数・他の店に比べて何倍か,修飾語・その登場回数・他の店に比べて何倍か,修飾語・その登場回数・他の店に比べて何倍か,修飾語・その登場回数・他の店に比べて何倍か
赤酢 0回,強い ・0回  ・ 0.0倍,あっさり ・0回  ・ 0.0倍,酸っぱい ・0回  ・ 0.0倍,,,
握り 73回,大きい ・1回  ・ 0.32倍,小さい ・5回  ・ 2.67倍,創作 ・0回  ・ 0.0倍,,,
シャリ 27回,大きい ・0回  ・ 0.0倍,小さい ・1回  ・ 1.3倍,パラパラ ・1回  ・ 5.48倍,塩気 ・1回  ・ 0.5倍,甘い ・0回  ・ 0.0倍,酢 ・1回  ・ 0.18倍
まぐろ 222回,うまい ・33回  ・ 0.98倍,臭い ・0回  ・ 0.0倍,あっさり ・0回  ・ 0.0倍,こってり ・0回  ・ 0.0倍,とろける ・2回  ・ 0.73倍,
