軸となる単語,登場回数,全単語に対する登場頻度%（登場回数/全単語数）,他の店での登場頻度%,他の店に比べて何倍登場しているか,詳細:軸のグループ単語とその登場回数
赤酢,1回,0.0%,0.01%,0.54倍," 赤酢 1回,"
握り,135回,0.8%,0.58%,1.37倍," 握り 135回, にぎり 0回, ニギリ 0回,"
シャリ,155回,0.92%,0.4%,2.3倍," シャリ 129回, コメ 1回, 米 25回, ライス 0回, こめ 0回, しゃり 0回,"
まぐろ,108回,0.64%,0.9%,0.71倍," まぐろ 4回, マグロ 31回, 鮪 26回, 赤身 41回, トロ 6回, とろ 0回,"
