,軸,単語,登場数,登場率%/16822,レビューあたり/77,他のレビューでの登場率%,1,2,3,4,5
0,シャリ,シャリ,129,0.76,1.67,0.28,強い　16,美味しい　6,素晴らしい　6,高い　4,良い　4
1,シャリ,握り,135,0.8,1.75,0.65,ない　5,美味しい　5,良い　2,欲しい　2,美しい　2
2,シャリ,酢,50,0.29,0.64,0.16,強い　9,良い　2,素晴らしい　1,ない　1,分厚い　1
3,シャリ,塩,25,0.14,0.32,0.14,美味しい　2,程良い　1,強い　1,多い　1,薄い　1
4,シャリ,香り,32,0.19,0.41,0.15,強い　5,いい　2,高い　2,良い　1,軽い　1
5,シャリ,温度,17,0.1,0.22,0.05,小さい　1,美しい　1,美味しい　1,よい　1,甘い　1
6,シャリ,米,20,0.11,0.25,0.01,少ない　2,面白い　1,*　*,*　*,*　*
