,0
0,値段
1,麻布
2,麻布十番
3,ビール
4,活気
5,満席
6,テーブル
7,メニュー
8,冷酒
9,コストパフォーマンス
10,アジ
11,客層
12,外国
13,家族
14,揚げ
15,熱燗
16,クオリティ
17,ドリンク
18,板前
19,居酒屋
20,お世話
21,金額
22,アナゴ
23,充実
24,カニ
25,たま
26,居心地
27,気軽
28,磯辺
29,リーズナブル
30,メイン
31,連れ
32,瓶ビール
33,接待
34,ｶｳﾝﾀｰ
35,時代
36,つめ
37,通常
38,地元
39,人柄
40,立地
41,出口
42,勘八
43,昭和
44,創業
