頻出単語TOP30,出現回数
ワイン,88
日本,69
マリアージュ,53
雲丹,52
大将,49
穴子,47
ウニ,45
スープ,44
トロ,40
マグロ,39
カウンター,36
四谷,35
シャンパン,33
巻き,32
白子,31
キャビア,31
昆布,28
食材,28
満足,28
待ち,27
素材,24
高級,24
出汁,24
楽しみ,23
常連,22
紀尾井町,22
カラス,22
一品,22
ご飯,22
ソース,22
