頻出単語TOP30,出現回数
トロ,177
銀座,87
穴子,58
大将,58
雲丹,52
熟成,50
旨味,49
烏賊,46
カウンター,45
巻き,44
車海老,43
ウニ,41
マグロ,41
赤貝,41
赤身,41
値段,41
海胆,40
素材,40
軍艦,39
満足,38
店主,35
主人,35
うに,33
昆布,32
印籠,30
海苔,30
カツオ,30
高い,30
仕事,28
写真,27
