頻出単語,登場回数,登場回数/全単語数(31937)%,登場レビュー率 /(113本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
玉子,34,0.1,18.42,0.29,1.61
見,34,0.1,21.92,0.29,1.36
鮪,34,0.1,14.91,0.29,2.0
*,34,0.1,1.75,0.29,17.0
昼,33,0.1,21.92,0.28,1.32
分,33,0.1,21.05,0.28,1.37
ところ,33,0.1,21.05,0.28,1.37
写真,33,0.1,19.29,0.28,1.5
甘,33,0.1,14.03,0.28,2.06
個室,32,0.1,19.29,0.28,1.45
江戸前,32,0.1,16.66,0.28,1.68
塩,32,0.1,21.92,0.28,1.28
手,32,0.1,19.29,0.28,1.45
今,32,0.1,21.05,0.28,1.33
出し,32,0.1,21.92,0.28,1.28
ふ,32,0.1,2.63,0.28,10.66
かなり,32,0.1,21.92,0.28,1.28
でき,31,0.09,21.05,0.27,1.29
(,31,0.09,17.54,0.27,1.55
身,31,0.09,14.91,0.27,1.82
にぎり,31,0.09,12.28,0.27,2.21
マグロ,31,0.09,14.91,0.27,1.82
よく,31,0.09,17.54,0.27,1.55
肉,31,0.09,13.15,0.27,2.06
入っ,31,0.09,21.92,0.27,1.24
最高,30,0.09,19.29,0.26,1.36
香り,30,0.09,15.78,0.26,1.66
くれ,30,0.09,19.29,0.26,1.36
-,30,0.09,7.89,0.26,3.33
なかっ,29,0.09,18.42,0.25,1.38
素晴らしい,29,0.09,17.54,0.25,1.45
出汁,29,0.09,19.29,0.25,1.31
他,29,0.09,21.92,0.25,1.16
初めて,29,0.09,21.92,0.25,1.16
濃厚,29,0.09,14.03,0.25,1.81
月,29,0.09,10.52,0.25,2.41
料理,29,0.09,14.91,0.25,1.7
り,29,0.09,5.26,0.25,4.83
非常,28,0.08,14.03,0.24,1.75
巻き,28,0.08,17.54,0.24,1.4
うに,28,0.08,14.91,0.24,1.64
満足,28,0.08,16.66,0.24,1.47
来,28,0.08,18.42,0.24,1.33
良く,28,0.08,14.91,0.24,1.64
事,27,0.08,14.03,0.23,1.68
好み,27,0.08,17.54,0.23,1.35
穴子,27,0.08,19.29,0.23,1.22
エビ,27,0.08,14.91,0.23,1.58
思っ,27,0.08,18.42,0.23,1.28
何,27,0.08,14.91,0.23,1.58
店内,27,0.08,18.42,0.23,1.28
め,26,0.08,10.52,0.22,2.16
甘み,26,0.08,13.15,0.22,1.73
酒,26,0.08,14.03,0.22,1.62
西麻布,26,0.08,17.54,0.22,1.3
炙り,25,0.07,17.54,0.21,1.25
上,25,0.07,16.66,0.21,1.31
くる,25,0.07,18.42,0.21,1.19
５,25,0.07,11.4,0.21,1.92
海苔,25,0.07,9.64,0.21,2.27
再訪,25,0.07,15.78,0.21,1.38
焼き魚,25,0.07,15.78,0.21,1.38
度,24,0.07,18.42,0.21,1.14
なかなか,24,0.07,17.54,0.21,1.2
行っ,24,0.07,16.66,0.21,1.26
10,24,0.07,17.54,0.21,1.2
),24,0.07,14.03,0.21,1.5
伺い,24,0.07,18.42,0.21,1.14
ため,24,0.07,17.54,0.21,1.2
しまい,24,0.07,16.66,0.21,1.26
ホタテ,23,0.07,13.15,0.2,1.53
そして,23,0.07,14.91,0.2,1.35
二,23,0.07,10.52,0.2,1.91
後,23,0.07,14.03,0.2,1.43
雰囲気,23,0.07,16.66,0.2,1.21
邪魔,23,0.07,10.52,0.2,1.91
お願い,23,0.07,14.03,0.2,1.43
しまう,23,0.07,10.52,0.2,1.91
週間,23,0.07,14.03,0.2,1.43
思う,23,0.07,14.03,0.2,1.43
貫目,23,0.07,3.5,0.2,5.75
ひ,23,0.07,0.87,0.2,23.0
しっかり,22,0.06,14.91,0.19,1.29
好き,22,0.06,16.66,0.19,1.15
高い,22,0.06,14.91,0.19,1.29
つ,22,0.06,9.64,0.19,2.0
醤油,22,0.06,7.89,0.19,2.44
る,22,0.06,2.63,0.19,7.33
とき,21,0.06,14.91,0.18,1.23
通り,21,0.06,14.91,0.18,1.23
言っ,21,0.06,14.03,0.18,1.31
本当に,21,0.06,13.15,0.18,1.4
