頻出単語TOP30,出現回数
銀座,48
カウンター,27
ワイン,24
コース,21
雰囲気,16
ランチ,16
玉子,15
インターホン,14
ミシュラン,14
日本,14
雲丹,14
トロ,13
大将,13
職人,12
海胆,12
マグロ,11
うに,11
デザート,11
ソムリエ,11
種類,10
普通,10
築地,10
穴子,10
女性,10
シャネル,9
車海老,9
隠れ家,9
階段,9
先付け,9
素敵,8
