頻出単語TOP30,出現回数
穴子,86
トロ,83
銀座,80
大将,56
赤身,37
旨味,34
車海老,32
香り,32
カウンター,32
甘み,31
雲丹,31
マグロ,31
日本,29
出汁,28
玉子,27
赤貝,26
強い,25
移転,24
昆布,24
小柱,22
次郎,22
コース,22
感動,22
おまかせ,22
仕事,22
焼き,20
ビル,20
値段,19
高い,19
甘鯛,19
