頻出単語TOP30,出現回数
トロ,81
穴子,75
白金,65
車海老,62
大将,60
カウンター,58
茶碗蒸し,55
雰囲気,48
日本,46
赤身,44
雲丹,43
焼き,41
女将,38
玉子,37
旨味,35
デザート,35
高輪,34
太刀魚,34
巻き,34
香り,33
おまかせ,32
漬け,32
昆布,29
主人,29
刺身,26
ワイン,26
白子,26
アイスクリーム,24
満足,24
アイス,24
