頻出単語,出現回数
です,270
ます,181
ない,149
から,134
まし,115
握り,107
いる,98
でし,86
ある,83
ので,81
あり,78
この,74
こと,69
さん,69
シャリ,59
よう,58
食べ,58
感じ,58
つまみ,54
ネタ,53
これ,52
穴子,50
良い,49
トロ,49
寿司,46
いい,44
なく,43
訪問,42
という,41
車海老,40
たい,40
そう,39
もの,39
ませ,37
まで,37
する,36
予約,35
だっ,34
カウンター,34
思い,34
美味しい,33
しっかり,33
大将,33
女将,32
白金,31
少し,30
ほど,30
デザート,30
追加,30
焼き,29
なっ,29
こちら,28
かなり,28
好み,28
主人,28
ランチ,27
かも,26
でしょ,26
あっ,26
られ,26
おり,25
でも,25
なかなか,25
いま,24
雲丹,24
昆布,24
その,24
でき,24
なら,23
香り,23
アイスクリーム,23
雰囲気,23
むら,22
通り,22
玉子,22
赤身,22
ここ,22
なる,22
けど,21
のみ,21
そして,21
最後,21
だけ,20
なり,20
ちょっと,20
日本,20
好き,20
茶碗蒸し,19
お願い,19
アイス,19
ところ,19
コース,19
今回,19
仕事,19
てる,19
それ,19
時間,18
ワイン,18
常連,18
高い,18
良く,18
れる,18
おまかせ,18
くらい,18
とても,18
より,17
場所,17
漬け,17
奥様,17
よく,17
高輪,16
店内,16
また,16
ウニ,15
こはだ,15
しまっ,15
甘み,15
行く,15
など,15
烏賊,15
金目,15
コハダ,14
居心地,14
海老,14
江戸前,14
けれど,14
やや,14
旨い,14
ため,14
北里,13
伺い,13
バランス,13
再訪,13
東京,13
お昼,13
もう,13
写真,13
墨烏賊,13
醤油,13
うに,13
って,13
ながら,13
たら,13
なかっ,12
非常,12
濃厚,12
アナゴ,12
アジ,12
以上,12
銀座,12
くれ,12
入れ,12
印象,12
巻き,12
言っ,12
最初,12
特に,12
旨み,12
最高,12
自分,12
海苔,12
タイプ,12
ミシュラン,12
にぎり,12
太刀魚,12
出来,11
しれ,11
たく,11
嬉しい,11
として,11
価格,11
行き,11
平目,11
程度,11
初めて,11
ビール,11
頂い,11
素晴らしい,11
満足,11
良し,11
悪く,11
行っ,11
炙り,11
よい,11
うまい,11
病院,10
美人,10
風味,10
すぎ,10
軍艦,10
酸味,10
られる,10
料理,10
一番,10
いくら,10
近く,10
人気,10
無い,10
味わい,10
スミイカ,10
毛蟹,10
じゃ,10
すぐ,9
入り,9
甘い,9
頂き,9
締め,9
個人,9
具合,9
美味し,9
できる,9
丁寧,9
思う,9
なか,9
あん,9
値段,9
出し,9
なし,9
強め,9
機会,9
しまう,9
ブレンド,9
絶妙,9
全体,9
温度,9
固め,9
ツメ,9
ほうぼう,9
たっぷり,9
入っ,9
付け,9
大好き,8
北里大学,8
まずまず,8
歯応え,8
イクラ,8
抜群,8
前回,8
同じ,8
少々,8
空間,8
内容,8
蒸し,8
しっとり,8
上品,8
レベル,8
一つ,8
会計,8
思っ,8
結構,8
そんな,8
見え,8
美味い,8
だろ,8
大きめ,8
思わ,8
多い,8
臭み,8
みる,8
小瓶,8
弟子,8
赤貝,8
本日,8
楽しみ,8
使わ,8
強い,8
欲しい,8
美味,8
白身,8
旨味,8
ワサビ,8
綺麗,8
握っ,8
くる,8
こういう,8
いう,8
ねっとり,8
使っ,8
おら,7
任せ,7
イカ,7
普通,7
あと,7
高く,7
コス,7
食事,7
お茶,7
くれる,7
選択,7
営業,7
あまり,7
メニュー,7
しか,7
期待,7
しかし,7
新子,7
とか,7
しみ,7
一体,7
そこ,7
握る,7
いっ,7
全く,7
干瓢,7
オープン,7
巻物,7
いただい,7
大きい,7
土日,7
人肌,7
さっぱり,7
しめ,7
感じる,7
つけ,7
最近,7
今日,7
ツマミ,7
飲ん,7
しまい,7
グラス,6
白子,6
のに,6
白木,6
言う,6
付き,6
ノド,6
高級,6
ヒラメ,6
加減,6
さすが,6
やはり,6
柔らかい,6
素晴らしく,6
すぎる,6
春子,6
美味しかっ,6
まだ,6
客層,6
かけ,6
ミル,6
もちろん,6
ただ,6
もう少し,6
かす,6
意味,6
みたい,6
聞い,6
たち,6
ふわふわ,6
切り,6
抑え,6
回転,6
黒糖,6
実に,6
柔らか,6
丁度,6
とっても,6
評価,6
ソムリエ,6
炙っ,6
たま,6
乗り,6
生姜,6
づけ,6
主張,6
硬め,6
なあ,6
食べる,6
どの,6
もん,6
多く,6
甘味,6
此方,6
頂く,6
エビ,6
お腹,5
カステラ,5
相性,5
恵比寿,5
徒歩,5
えび,5
オーダー,5
伺っ,5
大き,5
サイズ,5
優しい,5
文句,5
無し,5
吟醸,5
残っ,5
乗っ,5
近所,5
男性,5
入れる,5
とも,5
やっ,5
どれ,5
火入れ,5
わけ,5
楽しめ,5
入る,5
まず,5
ログ,5
当日,5
満席,5
種類,5
時期,5
たり,5
良かっ,5
絶対,5
連れ,5
グロ,5
店主,5
たかっ,5
邪魔,5
見た目,5
週末,5
安心,5
いろいろ,5
真子,5
切ら,5
柔らかく,5
溢れる,5
もっと,5
素材,5
日曜,5
タレ,5
清潔,5
勿論,5
濃い,5
広がり,5
ねえ,5
実際,5
少ない,5
うれしい,5
おいしい,5
ノリ,5
両方,5
スタート,5
べき,5
週間,5
イイ,5
ふっくら,5
秀逸,5
焼酎,5
取れ,5
残念,5
握ら,5
本当に,5
鮮度,5
さらに,5
カツオ,5
しかも,5
あれ,5
通っ,5
夫婦,5
駐車,5
とにかく,5
ゆったり,4
行か,4
大変,4
自体,4
いっぱい,4
ポン酢,4
効い,4
無く,4
ししゃも,4
きな粉,4
ご馳走さま,4
タクシー,4
アルコール,4
北寄貝,4
焼き物,4
モノ,4
ほうじ茶,4
位置,4
訪れ,4
マグロ,4
特徴,4
和やか,4
空気,4
やすい,4
