,0
0,銀座
1,コース
2,デザート
3,職人
4,インターホン
5,アイス
6,女性
7,ミシュラン
8,板前
9,芙蓉
10,先付け
11,刺身
12,シャーベット
13,築地
14,スタッフ
15,コロッケ
16,和食
17,真ん中
18,ソムリエ
19,路地
20,""""""
21,ワインセラー
22,石橋
23,セリ
24,料金
