頻出単語TOP30,出現回数
マグロ,71
まぐろ,52
トロ,51
銀座,39
旨い,34
穴子,33
大将,33
赤身,29
香り,28
味わい,22
極上,21
雲丹,20
大間,20
車海老,19
巻き,19
赤貝,19
常連,17
新津,16
真子,15
種類,15
時期,14
雰囲気,14
ツマミ,14
旨味,14
新子,13
有名,13
職人,13
爽やか,13
紹介,13
高い,12
