頻出単語,登場回数,登場回数/全単語数(5587)%,登場レビュー率 /(46本),レビューあたりの登場回数 /回,登場したレビューにおける平均登場回数
もらい,6,0.1,10.63,0.12,1.2
オーダー,6,0.1,8.51,0.12,1.5
アジ,6,0.1,10.63,0.12,1.2
入れ,6,0.1,12.76,0.12,1.0
思う,6,0.1,10.63,0.12,1.2
好み,6,0.1,10.63,0.12,1.2
２,6,0.1,10.63,0.12,1.2
柄,6,0.1,12.76,0.12,1.0
客,6,0.1,6.38,0.12,2.0
しかし,6,0.1,10.63,0.12,1.2
コハダ,6,0.1,12.76,0.12,1.0
少し,6,0.1,10.63,0.12,1.2
酢,6,0.1,10.63,0.12,1.2
客層,6,0.1,12.76,0.12,1.0
外国,6,0.1,12.76,0.12,1.0
家族,6,0.1,12.76,0.12,1.0
そう,6,0.1,10.63,0.12,1.2
にぎり,6,0.1,10.63,0.12,1.2
頼み,6,0.1,8.51,0.12,1.5
食べる,6,0.1,10.63,0.12,1.2
一番,6,0.1,12.76,0.12,1.0
次,6,0.1,8.51,0.12,1.5
穴子,6,0.1,8.51,0.12,1.5
ご,6,0.1,10.63,0.12,1.2
それなり,6,0.1,10.63,0.12,1.2
巻き,6,0.1,8.51,0.12,1.5
多い,6,0.1,12.76,0.12,1.0
10,6,0.1,6.38,0.12,2.0
たま,6,0.1,12.76,0.12,1.0
19,6,0.1,12.76,0.12,1.0
系,6,0.1,8.51,0.12,1.5
良く,6,0.1,12.76,0.12,1.0
あれ,6,0.1,10.63,0.12,1.2
万,6,0.1,8.51,0.12,1.5
東京,5,0.08,4.25,0.1,2.5
よく,5,0.08,8.51,0.1,1.25
年,5,0.08,6.38,0.1,1.66
とき,5,0.08,8.51,0.1,1.25
食,5,0.08,8.51,0.1,1.25
塩,5,0.08,8.51,0.1,1.25
熱燗,5,0.08,10.63,0.1,1.0
基本,5,0.08,10.63,0.1,1.0
思っ,5,0.08,8.51,0.1,1.25
毛蟹,5,0.08,8.51,0.1,1.25
2,5,0.08,8.51,0.1,1.25
クオリティ,5,0.08,10.63,0.1,1.0
5,5,0.08,8.51,0.1,1.25
過ぎ,5,0.08,10.63,0.1,1.0
あと,5,0.08,6.38,0.1,1.66
もらっ,5,0.08,8.51,0.1,1.25
かなり,5,0.08,10.63,0.1,1.0
ドリンク,5,0.08,6.38,0.1,1.66
板前,5,0.08,8.51,0.1,1.25
生,5,0.08,6.38,0.1,1.66
サービス,5,0.08,10.63,0.1,1.0
(,5,0.08,10.63,0.1,1.0
),5,0.08,10.63,0.1,1.0
せ,5,0.08,10.63,0.1,1.0
居酒屋,5,0.08,4.25,0.1,2.5
られ,5,0.08,8.51,0.1,1.25
貫,5,0.08,8.51,0.1,1.25
どれ,5,0.08,8.51,0.1,1.25
なかっ,5,0.08,10.63,0.1,1.0
場,5,0.08,8.51,0.1,1.25
大好き,5,0.08,10.63,0.1,1.0
板,5,0.08,4.25,0.1,2.5
やっぱり,5,0.08,8.51,0.1,1.25
頂き,5,0.08,10.63,0.1,1.0
刺身,5,0.08,8.51,0.1,1.25
♪,5,0.08,6.38,0.1,1.66
すし,5,0.08,8.51,0.1,1.25
お世話,5,0.08,8.51,0.1,1.25
気分,5,0.08,8.51,0.1,1.25
ちなみに,5,0.08,6.38,0.1,1.66
行く,5,0.08,8.51,0.1,1.25
高級,5,0.08,10.63,0.1,1.0
職人,5,0.08,6.38,0.1,1.66
つめ,5,0.08,6.38,0.1,1.66
なし,5,0.08,10.63,0.1,1.0
３,5,0.08,6.38,0.1,1.66
最初,5,0.08,10.63,0.1,1.0
金額,5,0.08,8.51,0.1,1.25
混み,5,0.08,4.25,0.1,2.5
なに,5,0.08,8.51,0.1,1.25
仕事,5,0.08,10.63,0.1,1.0
行き,4,0.07,8.51,0.08,1.0
よかっ,4,0.07,8.51,0.08,1.0
アナゴ,4,0.07,8.51,0.08,1.0
分厚い,4,0.07,2.12,0.08,4.0
あん,4,0.07,6.38,0.08,1.33
通り,4,0.07,8.51,0.08,1.0
マグロ,4,0.07,6.38,0.08,1.33
前,4,0.07,8.51,0.08,1.0
たら,4,0.07,8.51,0.08,1.0
結構,4,0.07,8.51,0.08,1.0
常連,4,0.07,6.38,0.08,1.33
相手,4,0.07,6.38,0.08,1.33
おり,4,0.07,8.51,0.08,1.0
頂い,4,0.07,8.51,0.08,1.0
食事,4,0.07,6.38,0.08,1.33
ゆっくり,4,0.07,8.51,0.08,1.0
安い,4,0.07,8.51,0.08,1.0
こういう,4,0.07,8.51,0.08,1.0
再訪,4,0.07,6.38,0.08,1.33
残念,4,0.07,8.51,0.08,1.0
8,4,0.07,8.51,0.08,1.0
入,4,0.07,8.51,0.08,1.0
多く,4,0.07,8.51,0.08,1.0
とりあえず,4,0.07,8.51,0.08,1.0
イカ,4,0.07,8.51,0.08,1.0
いくら,4,0.07,6.38,0.08,1.33
茶碗蒸し,4,0.07,8.51,0.08,1.0
以外,4,0.07,8.51,0.08,1.0
充実,4,0.07,6.38,0.08,1.33
入っ,4,0.07,8.51,0.08,1.0
状態,4,0.07,8.51,0.08,1.0
",",4,0.07,6.38,0.08,1.33
ごちそうさま,4,0.07,8.51,0.08,1.0
みる,4,0.07,8.51,0.08,1.0
いっ,4,0.07,6.38,0.08,1.33
ただ,4,0.07,8.51,0.08,1.0
そこ,4,0.07,4.25,0.08,2.0
しまい,4,0.07,6.38,0.08,1.33
いえ,4,0.07,8.51,0.08,1.0
美味しく,4,0.07,6.38,0.08,1.33
使い,4,0.07,8.51,0.08,1.0
♡,4,0.07,2.12,0.08,4.0
普通,4,0.07,8.51,0.08,1.0
そんな,4,0.07,6.38,0.08,1.33
蟹,4,0.07,8.51,0.08,1.0
具合,4,0.07,8.51,0.08,1.0
白子,4,0.07,8.51,0.08,1.0
CP,4,0.07,8.51,0.08,1.0
近所,4,0.07,8.51,0.08,1.0
やはり,4,0.07,6.38,0.08,1.33
それ,4,0.07,8.51,0.08,1.0
レベル,4,0.07,6.38,0.08,1.33
後,4,0.07,8.51,0.08,1.0
座っ,4,0.07,8.51,0.08,1.0
度,4,0.07,6.38,0.08,1.33
十分,4,0.07,6.38,0.08,1.33
いう,4,0.07,8.51,0.08,1.0
高い,4,0.07,8.51,0.08,1.0
期待,4,0.07,2.12,0.08,4.0
その後,4,0.07,8.51,0.08,1.0
カニ,4,0.07,4.25,0.08,2.0
街,4,0.07,6.38,0.08,1.33
．,4,0.07,2.12,0.08,4.0
０,4,0.07,4.25,0.08,2.0
５,4,0.07,6.38,0.08,1.33
杯,4,0.07,8.51,0.08,1.0
そして,4,0.07,8.51,0.08,1.0
程度,4,0.07,4.25,0.08,2.0
7,4,0.07,4.25,0.08,2.0
美味し,4,0.07,4.25,0.08,2.0
美味しかっ,4,0.07,8.51,0.08,1.0
居心地,4,0.07,8.51,0.08,1.0
言わ,4,0.07,8.51,0.08,1.0
江戸前,4,0.07,8.51,0.08,1.0
主人,4,0.07,8.51,0.08,1.0
ツマミ,4,0.07,4.25,0.08,2.0
気軽,4,0.07,8.51,0.08,1.0
銀座,3,0.05,6.38,0.06,1.0
ケース,3,0.05,4.25,0.06,1.5
長い,3,0.05,4.25,0.06,1.5
途中,3,0.05,4.25,0.06,1.5
いろいろ,3,0.05,6.38,0.06,1.0
続い,3,0.05,6.38,0.06,1.0
脂,3,0.05,4.25,0.06,1.5
乗っ,3,0.05,4.25,0.06,1.5
皿,3,0.05,6.38,0.06,1.0
見,3,0.05,6.38,0.06,1.0
磯辺,3,0.05,6.38,0.06,1.0
のり,3,0.05,4.25,0.06,1.5
つまむ,3,0.05,6.38,0.06,1.0
煮,3,0.05,6.38,0.06,1.0
肝,3,0.05,4.25,0.06,1.5
予想,3,0.05,4.25,0.06,1.5
甘い,3,0.05,6.38,0.06,1.0
赤身,3,0.05,6.38,0.06,1.0
赤貝,3,0.05,4.25,0.06,1.5
白魚,3,0.05,6.38,0.06,1.0
高く,3,0.05,6.38,0.06,1.0
リーズナブル,3,0.05,6.38,0.06,1.0
しまっ,3,0.05,6.38,0.06,1.0
悪い,3,0.05,6.38,0.06,1.0
納得,3,0.05,6.38,0.06,1.0
そのまま,3,0.05,6.38,0.06,1.0
でき,3,0.05,6.38,0.06,1.0
メイン,3,0.05,6.38,0.06,1.0
牡蠣,3,0.05,4.25,0.06,1.5
モノ,3,0.05,4.25,0.06,1.5
サバ,3,0.05,6.38,0.06,1.0
狭く,3,0.05,6.38,0.06,1.0
難点,3,0.05,6.38,0.06,1.0
000,3,0.05,6.38,0.06,1.0
昔,3,0.05,6.38,0.06,1.0
瓶ビール,3,0.05,6.38,0.06,1.0
種類,3,0.05,6.38,0.06,1.0
頂く,3,0.05,6.38,0.06,1.0
４,3,0.05,6.38,0.06,1.0
なかなか,3,0.05,6.38,0.06,1.0
他,3,0.05,6.38,0.06,1.0
事,3,0.05,6.38,0.06,1.0
普段,3,0.05,6.38,0.06,1.0
しれ,3,0.05,6.38,0.06,1.0
清潔,3,0.05,6.38,0.06,1.0
大将,3,0.05,6.38,0.06,1.0
名,3,0.05,6.38,0.06,1.0
付け,3,0.05,4.25,0.06,1.5
言っ,3,0.05,6.38,0.06,1.0
色々,3,0.05,6.38,0.06,1.0
瓶,3,0.05,4.25,0.06,1.5
本,3,0.05,4.25,0.06,1.5
ましょ,3,0.05,6.38,0.06,1.0
おいしかっ,3,0.05,6.38,0.06,1.0
笑,3,0.05,6.38,0.06,1.0
方々,3,0.05,6.38,0.06,1.0
楽しん,3,0.05,6.38,0.06,1.0
勿論,3,0.05,6.38,0.06,1.0
