頻出単語TOP30,出現回数
大将,176
熟成,160
トロ,84
包丁,83
カウンター,68
海老,60
西麻布,43
昆布,43
ランチ,42
旨味,41
雲丹,40
仕事,39
六本木,36
満足,33
マグロ,32
ウニ,31
金目,31
個室,30
提供,29
漬け,28
感動,28
穴子,27
値段,27
種類,26
隠し,26
江戸前,26
雰囲気,26
一品,26
写真,25
コース,25
